Name of Issuer,Title of Class,CUSIP,Value (x$1000),Shares/PRN Amt,Share Type,Put/Call,Discretion,Voting Sole,Voting Shared,Voting None
ABBVIE INC,COM,00287Y109,2735870,25533082,SH,,DFND,25533082,0,0
AMAZON COM INC,COM,023135106,1366282,419500,SH,,DFND,419500,0,0
AMAZON COM INC,COM,023135106,370639,113800,SH,,DFND,113800,0,0
AMERICAN EXPRESS CO,COM,025816109,236033,1952142,SH,,DFND,1952142,0,0
AMERICAN EXPRESS CO,COM,025816109,20304,167926,SH,,DFND,167926,0,0
AMERICAN EXPRESS CO,COM,025816109,2082723,17225400,SH,,DFND,17225400,0,0
AMERICAN EXPRESS CO,COM,025816109,101544,839832,SH,,DFND,839832,0,0
AMERICAN EXPRESS CO,COM,025816109,248724,2057100,SH,,DFND,2057100,0,0
AMERICAN EXPRESS CO,COM,025816109,966631,7994634,SH,,DFND,7994634,0,0
AMERICAN EXPRESS CO,COM,025816109,14506051,119973953,SH,,DFND,119973953,0,0
AMERICAN EXPRESS CO,COM,025816109,169239,1399713,SH,,DFND,1399713,0,0
APPLE INC,COM,037833100,91821,692000,SH,,DFND,692000,0,0
APPLE INC,COM,037833100,509530,3840000,SH,,DFND,3840000,0,0
APPLE INC,COM,037833100,3219059,24260000,SH,,DFND,24260000,0,0
APPLE INC,COM,037833100,7719294,58175400,SH,,DFND,58175400,0,0
APPLE INC,COM,037833100,361448,2724000,SH,,DFND,2724000,0,0
APPLE INC,COM,037833100,8166139,61542988,SH,,DFND,61542988,0,0
APPLE INC,COM,037833100,1612449,12152000,SH,,DFND,12152000,0,0
APPLE INC,COM,037833100,6346828,47832000,SH,,DFND,47832000,0,0
APPLE INC,COM,037833100,88826556,669429166,SH,,DFND,669429166,0,0
APPLE INC,COM,037833100,359855,2712000,SH,,DFND,2712000,0,0
APPLE INC,COM,037833100,501037,3776000,SH,,DFND,3776000,0,0
BANK AMER CORP,COM,060505104,118815,3920000,SH,,DFND,3920000,0,0
BANK AMER CORP,COM,060505104,360689,11900000,SH,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,529895,17482500,SH,,DFND,17482500,0,0
BANK AMER CORP,COM,060505104,4243400,140000000,SH,,DFND,140000000,0,0
BANK AMER CORP,COM,060505104,954098,31478000,SH,,DFND,31478000,0,0
BANK AMER CORP,COM,060505104,63651,2100000,SH,,DFND,2100000,0,0
BANK AMER CORP,COM,060505104,9450052,311780000,SH,,DFND,311780000,0,0
BANK AMER CORP,COM,060505104,363690,11999000,SH,,DFND,11999000,0,0
BANK AMER CORP,COM,060505104,523605,17275000,SH,,DFND,17275000,0,0
BANK AMER CORP,COM,060505104,12862537,424366106,SH,,DFND,424366106,0,0
BANK AMER CORP,COM,060505104,848680,28000000,SH,,DFND,28000000,0,0
BANK AMER CORP,COM,060505104,297038,9800000,SH,,DFND,9800000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,318777,7511249,SH,,DFND,7511249,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,91161,2148000,SH,,DFND,2148000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,76134,1793915,SH,,DFND,1793915,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,19395,457000,SH,,DFND,457000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,32933,776000,SH,,DFND,776000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,275452,6490384,SH,,DFND,6490384,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,310618,7319000,SH,,DFND,7319000,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,113831,2682169,SH,,DFND,2682169,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,1741726,41039736,SH,,DFND,41039736,0,0
BANK OF NEW YORK MELLON CORP,COM,064058100,90822,2140000,SH,,DFND,2140000,0,0
BIOGEN INC,COM,09062X103,157450,643022,SH,,DFND,643022,0,0
BRISTOL-MYERS SQUIBB CO,COM,110122108,2067833,33336016,SH,,DFND,33336016,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,3448965,5213461,SH,,DFND,5213461,0,0
CHEVRON CORP NEW,COM,166764100,4095738,48498965,SH,,DFND,48498965,0,0
COCA COLA CO,COM,191216100,43872,800000,SH,,DFND,800000,0,0
COCA COLA CO,COM,191216100,20371,371471,SH,,DFND,371471,0,0
COCA COLA CO,COM,191216100,4661,85000,SH,,DFND,85000,0,0
COCA COLA CO,COM,191216100,4402731,80283200,SH,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,100028,1824000,SH,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,790310,14411200,SH,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,822074,14990400,SH,,DFND,14990400,0,0
COCA COLA CO,COM,191216100,15504514,282722729,SH,,DFND,282722729,0,0
COCA COLA CO,COM,191216100,194792,3552000,SH,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,52646,960000,SH,,DFND,960000,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,2064137,17582088,SH,,DFND,17582088,0,0
DAVITA HEALTHCARE PARTNERS I,COM,23918K108,2173483,18513482,SH,,DFND,18513482,0,0
GENERAL MTRS CO,COM,37045V100,813021,19525000,SH,,DFND,19525000,0,0
GENERAL MTRS CO,COM,37045V100,206909,4969000,SH,,DFND,4969000,0,0
GENERAL MTRS CO,COM,37045V100,1036303,24887209,SH,,DFND,24887209,0,0
GENERAL MTRS CO,COM,37045V100,349873,8402338,SH,,DFND,8402338,0,0
GENERAL MTRS CO,COM,37045V100,612793,14716453,SH,,DFND,14716453,0,0
GLOBE LIFE INC,COM,37959E102,20267,213424,SH,,DFND,213424,0,0
GLOBE LIFE INC,COM,37959E102,16569,174489,SH,,DFND,174489,0,0
GLOBE LIFE INC,COM,37959E102,96089,1011888,SH,,DFND,1011888,0,0
GLOBE LIFE INC,COM,37959E102,136678,1439325,SH,,DFND,1439325,0,0
GLOBE LIFE INC,COM,37959E102,333747,3514601,SH,,DFND,3514601,0,0
JOHNSON & JOHNSON,COM,478160104,51479,327100,SH,,DFND,327100,0,0
KRAFT HEINZ CO,COM,500754106,11286503,325634818,SH,,DFND,325634818,0,0
KROGER CO,COM,501044101,123864,3900000,SH,,DFND,3900000,0,0
KROGER CO,COM,501044101,20365,641231,SH,,DFND,641231,0,0
KROGER CO,COM,501044101,89341,2813000,SH,,DFND,2813000,0,0
KROGER CO,COM,501044101,831470,26179786,SH,,DFND,26179786,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,186068,4308117,SH,,DFND,4308117,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,336527,7791780,SH,,DFND,7791780,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,40313,933391,SH,,DFND,933391,0,0
LIBERTY MEDIA CORP DELAWARE,COM A SIRIUSXM,531229409,78911,1827072,SH,,DFND,1827072,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,643005,14778322,SH,,DFND,14778322,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,958540,22030333,SH,,DFND,22030333,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,28302,650480,SH,,DFND,650480,0,0
LIBERTY MEDIA CORP DELAWARE,COM C SIRIUSXM,531229607,250146,5749156,SH,,DFND,5749156,0,0
MARSH & MCLENNAN COS INC,COM,571748102,499336,4267825,SH,,DFND,4267825,0,0
MASTERCARD INC,CL A,57636Q104,1629344,4564756,SH,,DFND,4564756,0,0
MERCK & CO. INC,COM,58933Y105,2347450,28697435,SH,,DFND,28697435,0,0
MONDELEZ INTL INC,CL A,609207105,33796,578000,SH,,DFND,578000,0,0
MOODYS CORP,COM,615369105,20926,72100,SH,,DFND,72100,0,0
MOODYS CORP,COM,615369105,3475313,11973928,SH,,DFND,11973928,0,0
MOODYS CORP,COM,615369105,3663917,12623750,SH,,DFND,12623750,0,0
PROCTER & GAMBLE CO,COM,742718109,43885,315400,SH,,DFND,315400,0,0
RH,COM,74967X103,352408,787469,SH,,DFND,787469,0,0
RH,COM,74967X103,422942,945079,SH,,DFND,945079,0,0
SPDR S&P 500 ETF TR,TR UNIT,78462F103,14731,39400,SH,,DFND,39400,0,0
SIRIUS XM HLDGS INC,COM,82968B103,35876,5632059,SH,,DFND,5632059,0,0
SIRIUS XM HLDGS INC,COM,82968B103,282624,44367941,SH,,DFND,44367941,0,0
SNOWFLAKE INC,CL A,833445109,1723681,6125376,SH,,DFND,6125376,0,0
STORE CAP CORP,COM,862121100,102450,3015000,SH,,DFND,3015000,0,0
STORE CAP CORP,COM,862121100,20488,602954,SH,,DFND,602954,0,0
STORE CAP CORP,COM,862121100,706689,20797214,SH,,DFND,20797214,0,0
SUNCOR ENERGY INC NEW,COM,867224107,179345,10688000,SH,,DFND,10688000,0,0
SUNCOR ENERGY INC NEW,COM,867224107,53045,3161207,SH,,DFND,3161207,0,0
SYNCHRONY FINL,COM,87165B103,582711,16788000,SH,,DFND,16788000,0,0
SYNCHRONY FINL,COM,87165B103,115931,3340000,SH,,DFND,3340000,0,0
T-MOBILE US INC,COM,872590104,76865,570000,SH,,DFND,570000,0,0
T-MOBILE US INC,COM,872590104,630019,4672000,SH,,DFND,4672000,0,0
TEVA PHARMACEUTICAL INDS LTD,SPONSORED ADR,881624209,210611,21825000,SH,,DFND,21825000,0,0
TEVA PHARMACEUTICAL INDS LTD,SPONSORED ADR,881624209,26147,2709585,SH,,DFND,2709585,0,0
